http://www.aplicaciones.info/ortogra/opal31.htm,,,,,
,,,,,
GROUP,TYPE,OPTIONS,WORD,ANSWER,MESSAGE
bv,word,"b,v",bar_a,0,
bv,word,"b,v",_iajar,1,
bv,word,"b,v",_arco,0,
bv,word,"b,v",_arriga,0,
bv,word,"b,v",_estir,1,
bv,word,"b,v",_astón,0,
bv,word,"b,v",_erja,1,
bv,word,"b,v",_ata,0,
bv,word,"b,v",_erde,1,
bv,word,"b,v",be_é,0,
bv,word,"b,v",_ella,0,
bv,word,"b,v",_entilador,1,
bv,word,"b,v",_estia,0,
bv,word,"b,v",_ender,1,
bv,word,"b,v",_igote,0,
bv,word,"b,v",_einte,1,
bv,word,"b,v",_oda,0,
bv,word,"b,v",_aso,1,
bv,word,"b,v",_olsa,0,
bv,word,"b,v",_onito,0,
bv,word,"b,v",_esar,0,
bv,word,"b,v",_er,1,
bv,word,"b,v",_erdad,1,
bv,word,"b,v",_autismo,0,
bv,word,"b,v",_erdura,1,
bv,word,"b,v",_asura,0,
bv,word,"b,v",_estido,1,
bv,word,"b,v",_ictoria,1,
bv,word,"b,v",_andeja,0,
bv,word,"b,v",_iento,1,
bv,word,"b,v",_icicleta,0,
bv,word,"b,v",_entana,1,
bv,word,"b,v",_esar,0,
bv,word,"b,v",_er,1,
bv,word,"b,v",_erdad,1,
bv,word,"b,v",_autismo,0,
bv,word,"b,v",_erdura,1,
bv,word,"b,v",_asura,0,
bv,word,"b,v",_estido,1,
bv,word,"b,v",_arro,0,
bv,word,"b,v",esta_ilidad,0,
bv,word,"b,v",graní_oro,1,
bv,word,"b,v",nausea_unda,0,
bv,word,"b,v",o_tener,0,
bv,word,"b,v",bi_liófilo,0,
bv,word,"b,v",ci_ilidad,1,
bv,word,"b,v",_ípedo,0,
bv,word,"b,v",posesi_o,1,
bv,word,"b,v",so_eranía,0,
bv,word,"b,v",_igor,1,
bv,word,"b,v",fá_ula,0,
bv,word,"b,v",festi_o,1,
bv,word,"b,v",fi_ra,0,
bv,word,"b,v",flexi_ilidad,0,
bv,word,"b,v",gar_anzo,0,
bv,word,"b,v",pa_o,1,
bv,word,"b,v",pue_lo,0,
bv,word,"b,v",reci_ir,0,
bv,word,"b,v",relie_e,1,
bv,word,"b,v",re_álida,1,
bv,word,"b,v",ga_ardina,0,
bv,word,"b,v",equi_ocarse,1,
bv,word,"b,v",glo_o,0,
bv,word,"b,v",jara_e,0,
bv,word,"b,v",di_ertido,1,
bv,word,"b,v",la_rador,0,
bv,word,"b,v",la_ar,1,
bv,word,"b,v",li_reta,0,
bv,word,"b,v",li_ro,0,
bv,word,"b,v",lla_e,1,
bv,word,"b,v",la_io,0,
bv,word,"b,v",di_ertir,1,
bv,word,"b,v",fa_or,1,
bv,word,"b,v",fie_re,0,
bv,word,"b,v",ga_ardina,0,
bv,word,"b,v",glo_o,0,
bv,word,"b,v",di_ertido,1,
bv,word,"b,v",la_rador,0,
bv,word,"b,v",la_ar,1,
bv,word,"b,v",li_reta,0,
bv,word,"b,v",_onita,0,
bv,word,"b,v",_acuna,1,
bv,word,"b,v",ca_ar,1,
bv,word,"b,v",chi_ato,1,
bv,word,"b,v",te_eo,0,
bv,word,"b,v",cla_o,1,
bv,word,"b,v",cor_ata,0,
bv,word,"b,v",cu_o,0,
bv,word,"b,v",cur_a,1,
bv,word,"b,v",de_olver,1,
bv,word,"b,v",_osque,0,
bv,word,"b,v",_ago,1,
bv,word,"b,v",_orde,0,
bv,word,"b,v",_aler,1,
bv,word,"b,v",_aliente,1,
bv,word,"b,v",_ola,0,
bv,word,"b,v",_obo,0,
bv,word,"b,v",_ela,1,
bv,word,"b,v",_icicleta,0,
bv,word,"b,v",_entana,1,
bv,word,"b,v",cu_o,0,
bv,word,"b,v",cur_a,1,
bv,word,"b,v",de_olver,1,
bv,word,"b,v",la_io,0,
bv,word,"b,v",di_ertir,1,
bv,word,"b,v",gar_anzo,0,
bv,word,"b,v",E_a,1,
bv,word,"b,v",Fa_ián,0,
bv,word,"b,v",fa_or,1,
bv,word,"b,v",fie_re,0,
bv,word,"b,v",enhora_uena,0,
bv,word,"b,v",fa_or,1,
bv,word,"b,v",perce_e,0,
bv,word,"b,v",pi_ote,1,
bv,word,"b,v",po_re,0,
bv,word,"b,v",posesi_o,1,
bv,word,"b,v",pro_abilidad,0,
bv,word,"b,v",pri_ado,1,
bv,word,"b,v",sa_io,0,
bv,word,"b,v",pro_isional,1,
bv,word,"b,v",li_ro,0,
bv,word,"b,v",lo_o,0,
bv,word,"b,v",mue_le,0,
bv,word,"b,v",ne_ar,1,
bv,word,"b,v",ol_idar,1,
bv,word,"b,v",pa_o,1,
bv,word,"b,v",pol_o,1,
bv,word,"b,v",tra_ieso,1,
bv,word,"b,v",nu_e,0,
bv,word,"b,v",_acación,1,
bv,word,"b,v",lle_ar,1,
bv,word,"b,v",lo_o,0,
bv,word,"b,v",lum_re,0,
bv,word,"b,v",mara_illa,1,
bv,word,"b,v",mue_le,0,
bv,word,"b,v",na_aja,1,
bv,word,"b,v",ne_ar,1,
bv,word,"b,v",nom_re,0,
bv,word,"b,v",nu_e,0,
bv,word,"b,v",ol_idar,1,
bv,word,"b,v",o_servación,0,
bv,word,"b,v",triun_iro,1,
bv,word,"b,v",_íblico,0,
